COMM:        sudo
KEY:         20995616
STATUS:      Training
NORM TIME:   2020-02-15 15:35:45
ANOMALIES:   0

TRAINING DATA:
                    CURR                     PREV            FLAGS
                  ACCESS                    FCNTL            00001111
                  ACCESS                   GETUID            00100000
                  ACCESS              SETPRIORITY            01000000
                  ACCESS               ARCH_PRCTL            00011001
                  ACCESS                   OPENAT            00010000
                   ALARM                     READ            11111110
                   ALARM                    CLOSE            00101000
                   ALARM                    FSTAT            01000000
                   ALARM                    LSEEK            10000101
                   ALARM             RT_SIGACTION            11100001
                   ALARM                   ACCESS            00010100
                   ALARM                    ALARM            11110010
                   ALARM                    FCNTL            01111001
                   ALARM                   OPENAT            10001010
                  GETPID                    CLOSE            00001000
                  GETPID                     STAT            00000001
                  GETPID                     MMAP            11110000
                  GETPID                 MPROTECT            00000100
                  GETPID                   MUNMAP            00000010
                  GETPID             RT_SIGACTION            11111100
                  GETPID           RT_SIGPROCMASK            00000011
                  SOCKET                     READ            11111110
                  SOCKET                    CLOSE            11111111
                  SOCKET                     STAT            10000001
                  SOCKET                    FSTAT            00011000
                  SOCKET                     POLL            01001000
                  SOCKET                    LSEEK            11111000
                  SOCKET                     MMAP            11111011
                  SOCKET                 MPROTECT            00001000
                  SOCKET                   MUNMAP            00000100
                  SOCKET                      BRK            00000001
                  SOCKET             RT_SIGACTION            00100100
                  SOCKET           RT_SIGPROCMASK            00000011
                  SOCKET                    IOCTL            01010000
                  SOCKET                    ALARM            01001000
                  SOCKET                   GETPID            00000001
                  SOCKET                   SOCKET            00000100
                  SOCKET                  CONNECT            00000010
                  SOCKET                   SENDTO            10010001
                  SOCKET                 RECVFROM            10110110
                  SOCKET                    UNAME            00100000
                  SOCKET                    FCNTL            10010000
                  SOCKET                 READLINK            01000000
                  SOCKET                   GETUID            01001001
                  SOCKET                   GETGID            00010010
                  SOCKET                  GETEUID            00100100
                  SOCKET                  GETEGID            00001001
                  SOCKET                GETGROUPS            00100000
                  SOCKET                SETRESUID            00000100
                  SOCKET                GETRESUID            11000000
                  SOCKET                SETRESGID            00100010
                  SOCKET                GETRESGID            01100000
                  SOCKET                   GETSID            10010000
                  SOCKET                    PRCTL            00000011
                  SOCKET                   OPENAT            10110000
                  SOCKET                PRLIMIT64            10001100
                 CONNECT                     READ            11011000
                 CONNECT                    CLOSE            11011110
                 CONNECT                    FSTAT            00010000
                 CONNECT                     POLL            10010000
                 CONNECT                    LSEEK            00100000
                 CONNECT                     MMAP            00110110
                 CONNECT                   MUNMAP            10000000
                 CONNECT                      BRK            00000010
                 CONNECT             RT_SIGACTION            00001000
                 CONNECT           RT_SIGPROCMASK            01100000
                 CONNECT                    IOCTL            10000000
                 CONNECT                    ALARM            00010000
                 CONNECT                   GETPID            00100000
                 CONNECT                   SOCKET            00011001
                 CONNECT                  CONNECT            00000100
                 CONNECT                   SENDTO            00100000
                 CONNECT                 RECVFROM            01101100
                 CONNECT               SETSOCKOPT            00000101
                 CONNECT               GETSOCKOPT            00001010
                 CONNECT                    UNAME            01000000
                 CONNECT                    FCNTL            00100000
                 CONNECT                 READLINK            10000000
                 CONNECT                   GETUID            10010010
                 CONNECT                   GETGID            00100100
                 CONNECT                  GETEUID            01001000
                 CONNECT                  GETEGID            00010010
                 CONNECT                GETGROUPS            01000000
                 CONNECT                SETRESUID            00001000
                 CONNECT                GETRESUID            10000000
                 CONNECT                SETRESGID            01000100
                 CONNECT                GETRESGID            11000000
                 CONNECT                   GETSID            00100000
                 CONNECT                   OPENAT            01100000
                  SENDTO                     READ            11110110
                  SENDTO                    CLOSE            11111101
                  SENDTO                     STAT            00000100
                  SENDTO                    FSTAT            01101000
                  SENDTO                     POLL            00100000
                  SENDTO                    LSEEK            01000000
                  SENDTO                      BRK            00000100
                  SENDTO             RT_SIGACTION            10010000
                  SENDTO                    IOCTL            10000000
                  SENDTO                    ALARM            00100000
                  SENDTO                   SOCKET            00011110
                  SENDTO                  CONNECT            00001001
                  SENDTO                   SENDTO            11000100
                  SENDTO                 RECVFROM            11011000
                  SENDTO                  RECVMSG            01111111
                  SENDTO                     BIND            00000010
                  SENDTO              GETSOCKNAME            10000001
                  SENDTO                    UNAME            10000001
                  SENDTO                    FCNTL            01000111
                  SENDTO                 READLINK            00000011
                  SENDTO                   GETUID            00100100
                  SENDTO                SETRESUID            00010000
                  SENDTO                SETRESGID            00001000
                  SENDTO                    PRCTL            00011000
                  SENDTO                   OPENAT            10010000
                  SENDTO                PRLIMIT64            01100000
                RECVFROM                     READ            11000000
                RECVFROM                    CLOSE            11100000
                RECVFROM                     STAT            00110000
                RECVFROM                    FSTAT            10000000
                RECVFROM                     POLL            00000011
                RECVFROM                   SOCKET            11111000
                RECVFROM                  CONNECT            01100000
                RECVFROM                   SENDTO            00110110
                RECVFROM                 RECVFROM            00000001
                RECVFROM                    UNAME            00001100
                RECVFROM                    FCNTL            00111100
                RECVFROM                 READLINK            00011100
                RECVFROM                   GETUID            10000000
                 SENDMSG                    FSTAT            11110100
                 SENDMSG                  CONNECT            01000000
                 SENDMSG                  SENDMSG            11011110
                 SENDMSG                  RECVMSG            10101111
                 SENDMSG              GETSOCKNAME            10111101
                 SENDMSG               SETSOCKOPT            10000000
                 SENDMSG               GETSOCKOPT            11111010
                 SENDMSG                   GETTID            01001010
                 SENDMSG                    PPOLL            01000110
                 RECVMSG                    FSTAT            11111000
                 RECVMSG                   SOCKET            11111000
                 RECVMSG                  CONNECT            10000000
                 RECVMSG                   SENDTO            11111111
                 RECVMSG                  SENDMSG            11111111
                 RECVMSG                  RECVMSG            11111111
                 RECVMSG                     BIND            11111100
                 RECVMSG              GETSOCKNAME            11111110
                 RECVMSG               GETSOCKOPT            11111100
                 RECVMSG                    PRCTL            11110000
                 RECVMSG                   GETTID            11110101
                 RECVMSG                    PPOLL            10111111
                 RECVMSG                PRLIMIT64            11000000
                    BIND                    CLOSE            10000000
                    BIND                    IOCTL            00100000
                    BIND                   SOCKET            00000001
                    BIND                    UNAME            01000000
                    BIND                    PRCTL            00000110
                    BIND                PRLIMIT64            00011000
             GETSOCKNAME                    FSTAT            00000010
             GETSOCKNAME                    IOCTL            01000000
             GETSOCKNAME                   SOCKET            00000010
             GETSOCKNAME                  CONNECT            00100000
             GETSOCKNAME                     BIND            00000001
             GETSOCKNAME               SETSOCKOPT            01000000
             GETSOCKNAME               GETSOCKOPT            10011101
             GETSOCKNAME                    UNAME            10000000
             GETSOCKNAME                    PRCTL            00001100
             GETSOCKNAME                PRLIMIT64            00110000
              SETSOCKOPT                     READ            01010000
              SETSOCKOPT                    CLOSE            01101000
              SETSOCKOPT                    LSEEK            11100000
              SETSOCKOPT                     MMAP            10000000
              SETSOCKOPT                 MPROTECT            10100000
              SETSOCKOPT                   MUNMAP            01010000
              SETSOCKOPT           RT_SIGPROCMASK            00111100
              SETSOCKOPT                   GETPID            00010100
              SETSOCKOPT                   SOCKET            00001010
              SETSOCKOPT               SETSOCKOPT            00000010
              SETSOCKOPT               GETSOCKOPT            00000101
              GETSOCKOPT                     READ            00101000
              GETSOCKOPT                    CLOSE            10110100
              GETSOCKOPT                    FSTAT            00000001
              GETSOCKOPT                    LSEEK            11110000
              GETSOCKOPT                     MMAP            11000000
              GETSOCKOPT                 MPROTECT            01010000
              GETSOCKOPT                   MUNMAP            00101000
              GETSOCKOPT           RT_SIGPROCMASK            11011110
              GETSOCKOPT                   GETPID            11001010
              GETSOCKOPT                   SOCKET            11100101
              GETSOCKOPT                  CONNECT            00010111
              GETSOCKOPT               SETSOCKOPT            10111111
              GETSOCKOPT               GETSOCKOPT            01111111
                   CLONE                    CLOSE            00000100
                   CLONE                     POLL            00100000
