COMM:        firefox
KEY:         22291138
STATUS:      Training
NORM TIME:   2020-02-15 15:38:29
ANOMALIES:   0

TRAINING DATA:
                    CURR                     PREV            FLAGS
                  MUNMAP                     STAT            11111111
                     BRK                     STAT            01010100
            RT_SIGACTION                     STAT            11100011
                   IOCTL                     STAT            01101101
                   PREAD                     STAT            11111110
                  WRITEV                     STAT            11111100
                  ACCESS                     STAT            11111111
                 MADVISE                     STAT            11111111
                     DUP                     STAT            11111100
                  GETPID                     STAT            11111111
                  SOCKET                     STAT            10000100
                 CONNECT                     STAT            01101110
                  SENDTO                     STAT            11111000
                RECVFROM                     STAT            11111110
                 SENDMSG                     STAT            10111100
                 RECVMSG                     STAT            11111111
                SHUTDOWN                     STAT            11001110
                    BIND                     STAT            11000000
             GETSOCKNAME                     STAT            11110010
             GETPEERNAME                     STAT            11100000
              SOCKETPAIR                     STAT            00010000
              SETSOCKOPT                     STAT            11110000
                   CLONE                     STAT            11110010
                  EXECVE                     STAT            10101000
                   UNAME                     STAT            11111111
                   FCNTL                     STAT            11111111
                   FSYNC                     STAT            11111111
               FTRUNCATE                     STAT            11111110
                  GETCWD                     STAT            01111000
                  RENAME                     STAT            11111111
                   MKDIR                     STAT            11111111
                   RMDIR                     STAT            01001111
                  UNLINK                     STAT            11111111
                READLINK                     STAT            11111011
                   UMASK                     STAT            00000110
               GETRUSAGE                     STAT            11110000
                 SYSINFO                     STAT            00001000
                  GETUID                     STAT            11111111
                 GETEUID                     STAT            11111000
               GETRESUID                     STAT            01111000
               GETRESGID                     STAT            00111100
                  STATFS                     STAT            10000001
                 FSTATFS                     STAT            11111100
                   PRCTL                     STAT            11101000
              ARCH_PRCTL                     STAT            10101010
                QUOTACTL                     STAT            11111111
                  GETTID                     STAT            11111111
               READAHEAD                     STAT            10001000
                   FUTEX                     STAT            11111111
       SCHED_GETAFFINITY                     STAT            10111000
              GETDENTS64                     STAT            11111111
         RESTART_SYSCALL                     STAT            11111110
               FADVISE64                     STAT            11111111
            CLOCK_GETRES                     STAT            11110000
       INOTIFY_ADD_WATCH                     STAT            00111000
                  OPENAT                     STAT            11111111
               FALLOCATE                     STAT            10000000
                EVENTFD2                     STAT            00100000
                SENDMMSG                     STAT            10000000
               GETRANDOM                     STAT            11111111
            MEMFD_CREATE                     STAT            00110000
                    READ                    FSTAT            11111111
                   WRITE                    FSTAT            11111111
                    OPEN                    FSTAT            11100111
                   CLOSE                    FSTAT            11111111
                    STAT                    FSTAT            11111111
                   FSTAT                    FSTAT            11111111
                   LSTAT                    FSTAT            11111110
                    POLL                    FSTAT            11111111
                   LSEEK                    FSTAT            11111111
                    MMAP                    FSTAT            11111110
                MPROTECT                    FSTAT            11111111
                  MUNMAP                    FSTAT            11111110
                     BRK                    FSTAT            00001000
            RT_SIGACTION                    FSTAT            01100100
          RT_SIGPROCMASK                    FSTAT            11011110
                   IOCTL                    FSTAT            11111110
                  PWRITE                    FSTAT            00001000
                  WRITEV                    FSTAT            11111000
                  ACCESS                    FSTAT            11111111
