COMM:        sudo
KEY:         5264555
STATUS:      Training
NORM TIME:   2020-01-25 13:41:29
ANOMALIES:   0

TRAINING DATA:
                    CURR                     PREV            FLAGS
                 RECVMSG                  RECVMSG            11111111
                 RECVMSG                     BIND            11111100
                 RECVMSG              GETSOCKNAME            11111110
                 RECVMSG               GETSOCKOPT            11111100
                 RECVMSG                    PRCTL            11110000
                 RECVMSG                   GETTID            11111101
                 RECVMSG                    PPOLL            11111111
                 RECVMSG                PRLIMIT64            11000000
                    BIND                    CLOSE            10000000
                    BIND                    IOCTL            00100000
                    BIND                   SOCKET            00000001
                    BIND                    UNAME            01000000
                    BIND                    PRCTL            00000110
                    BIND                PRLIMIT64            00011000
             GETSOCKNAME                    FSTAT            00000010
             GETSOCKNAME                    IOCTL            01000000
             GETSOCKNAME                   SOCKET            00000010
             GETSOCKNAME                  CONNECT            00100000
             GETSOCKNAME                     BIND            00000001
             GETSOCKNAME               SETSOCKOPT            01000000
             GETSOCKNAME               GETSOCKOPT            10011101
             GETSOCKNAME                    UNAME            10000000
             GETSOCKNAME                    PRCTL            00001100
             GETSOCKNAME                PRLIMIT64            00110000
              SETSOCKOPT                     READ            01010000
              SETSOCKOPT                    CLOSE            01101000
              SETSOCKOPT                    LSEEK            11100000
              SETSOCKOPT                     MMAP            10000000
              SETSOCKOPT                 MPROTECT            10100000
              SETSOCKOPT                   MUNMAP            01010000
              SETSOCKOPT           RT_SIGPROCMASK            00111100
              SETSOCKOPT                   GETPID            00010100
              SETSOCKOPT                   SOCKET            00001010
              SETSOCKOPT               SETSOCKOPT            00000010
              SETSOCKOPT               GETSOCKOPT            00000101
              GETSOCKOPT                     READ            00101000
              GETSOCKOPT                    CLOSE            10110100
              GETSOCKOPT                    FSTAT            00000001
              GETSOCKOPT                    LSEEK            11110000
              GETSOCKOPT                     MMAP            11000000
              GETSOCKOPT                 MPROTECT            01010000
              GETSOCKOPT                   MUNMAP            00101000
              GETSOCKOPT           RT_SIGPROCMASK            11011110
              GETSOCKOPT                   GETPID            11001010
              GETSOCKOPT                   SOCKET            11100101
              GETSOCKOPT                  CONNECT            00010111
              GETSOCKOPT               SETSOCKOPT            10111111
              GETSOCKOPT               GETSOCKOPT            01111111
                   CLONE                    CLOSE            00000100
                   CLONE                     POLL            00100000
                   CLONE           RT_SIGPROCMASK            00000001
                   CLONE                   SENDTO            01000000
                   CLONE                 RECVFROM            00011000
                   CLONE                    FCNTL            10000000
                   CLONE                    PIPE2            00000010
                   WAIT4                     READ            11011100
                   WAIT4                    WRITE            01100000
                   WAIT4                    CLOSE            11100000
                   WAIT4             RT_SIGACTION            10000000
                   WAIT4           RT_SIGPROCMASK            11100011
                   WAIT4             RT_SIGRETURN            10110000
                   WAIT4                     KILL            10000000
